,district,new_code
0,de4598ec-8318-4e21-8e0a-510a49853a07,54
1,df5f2a7b-ec52-4505-bd85-26a84438dee0,55
2,2b9626af-4919-45e4-873b-4a07a9749421,9
3,9c10f54e-63e5-4b8f-b720-4d95639db9bf,34
5,681480bb-414a-46c4-9dc6-2b0022534c50,20
8,491ba358-6818-4967-9e11-535cdbf24ff9,14
9,83d61891-a200-4bc8-9b44-5626427191c4,28
10,339fb39c-3a2b-45da-b036-8e2d7761c4b3,13
11,d9b43278-5c2e-4fde-8e38-4ec124e4edb2,53
12,75ad16f3-b6bb-4426-8bc2-b3a7258c4390,25
14,c378a939-d980-4035-90a6-571d589ca391,47
17,aa0d1c39-0c33-40c1-81df-4d5517a86814,41
20,e75b4790-e2c1-4158-9a97-8b4c6cda6d89,57
29,6ae2071c-5a2b-43cd-ab82-650c383b3767,22
32,31d2d2b0-9e52-41e5-af74-71ed7b5f0aec,11
33,1b48001f-cd4f-4f8a-b01b-52f467ad2b7d,3
36,5b5b7413-1eca-4027-ad56-4ac009375674,18
39,5e05831a-3707-430c-b4bd-14271e111bef,19
52,bfc3b05d-a7e9-4695-81cc-fd7eddebf050,45
53,3120922f-4942-4f30-969a-70271be9d439,10
55,89f3c9de-0869-4365-9851-39afcec4b153,29
70,9aa7200e-ff9f-42e4-b635-b021e6075b7e,33
75,4b23cba3-aa70-4c93-8503-5f4eeb96976a,15
76,fe9a0161-5ef7-49f2-963e-342c8abb7e53,63
115,1bd49d79-90c7-494f-a7b7-d03ada11c173,4
124,ad109098-e022-4c87-bde9-756984c47258,42
135,9e798d4d-fc17-4314-bdb8-b390839ed49b,37
167,26551cf1-5bf5-4ec7-be1f-6ce37154d978,7
292,c3274afd-521b-4aff-9334-140b2ff2b00a,46
421,2acc1da9-1c69-40c5-9f4d-8ca02cedc56f,8
687,1332851c-3046-47e8-8039-70297bfbf240,1
1065,d053ebf9-6c0b-4562-956e-e73d26b9200d,50
1973,72c19104-2582-409e-8217-c48c4cb2423b,24
2687,33450483-6a89-4e30-9024-9e17813c08cd,12
3094,5aa2d576-63b8-496c-b02c-ed304ac5862f,17
3455,7a830eb8-bf09-412f-b171-c4fc956db526,26
3622,a01cd4d6-79d0-4532-9e2f-b5be693e0057,38
5292,23ab2965-ecd8-4bb2-933f-424b1f984d39,6
6242,d0c759fb-4f93-4538-93e3-d12c86cb004e,51
6292,e6309350-19e5-48f9-b78c-3ffcb9915d01,56
6336,7bfb1149-a7b9-4af4-b7ed-bc1c4935c418,27
6372,a02b777b-9273-4eae-9cd4-3c03aee19787,39
6542,947a4dd2-394f-498f-87cf-566a4f0c79dd,31
6664,b611c86e-0693-41bb-98d4-6de1b4a837f5,43
7251,d74941ae-b914-4cd1-9b77-7fcf897bee49,52
7471,12ef2c2c-a649-4f02-8796-5444ab19897c,0
7501,cccbfbc4-3acd-48fe-8d21-79e84313f9da,49
7544,f20100db-d406-4240-bc80-4efa595e208a,61
7703,a6980769-b2f7-4671-a3c0-7640529564de,40
7920,9c9e036d-ed9a-4258-abcf-75646a0bc567,36
8158,9c6b41f6-91d9-4c92-aae6-bc5a2db94eed,35
8984,729c696b-9b3e-449e-8ddf-d362cc852738,23
9816,1e6577f4-6185-43f7-bfa5-6cc8f750f8b1,5
11582,1aa64484-13fa-4cad-ac92-09e4cfbf8eac,2
83811,e983b3e9-d5a4-4848-b843-ac5794a40172,59
84047,f5c32a1f-1db2-4dd6-8972-4e2cbfe0fed1,62
85362,e92a9fa7-590c-40c0-97ec-571f7c2ac7e8,58
86351,8f4c956b-40d6-4ff7-b136-82a24d9b23a6,30
89827,5015b681-92ab-4038-8313-0190eb4bd8af,16
90277,989a799a-ef40-400f-b579-6cc98e300bf0,32
97335,bced05e3-3814-444d-a060-e9a9bbbef010,44
322438,6a125c28-59e5-45ff-b91b-4e7d0a983159,21
633132,ea11f10a-9519-4069-848d-1129cea930ee,60
866534,c71bef9c-a8bc-4f31-a78b-9e3eeaac4198,48
